City,Temperature,Weather
Accra,26ʡC,Passing clouds. Warm.
Addis Ababa,17ʡC,Passing clouds. Mild.
Adelaide,11ʡC,Quite cool.
Algiers,27ʡC,Sunny. Warm.
Almaty,13ʡC,Clear. Refreshingly cool.
Amman,26ʡC,Clear. Warm.
Amsterdam,18ʡC,Scattered clouds. Mild.
Anadyr,3ʡC,Passing clouds. Chilly.
Anchorage,11ʡC,Passing clouds. Cool.
Ankara,26ʡC,Clear. Pleasantly warm.
Antananarivo,14ʡC,Passing clouds. Cool.
Asuncion,34ʡC,Passing clouds. Extremely hot.
Athens,32ʡC,Hot.
Atlanta,28ʡC,Passing clouds. Warm.
Auckland,12ʡC,Light rain. Partly cloudy. Cool.
Bangkok,26ʡC,Light rain. Passing clouds. Warm.
Barcelona,27ʡC,Passing clouds. Warm.
Beijing,20ʡC,Clear. Mild.
Belgrade,19ʡC,Passing clouds. Mild.
Bengaluru,22ʡC,Partly cloudy. Mild.
Berlin,23ʡC,Sunny. Mild.
Bogota,17ʡC,Drizzle. Broken clouds. Mild.
Boston,21ʡC,Passing clouds. Mild.
Brasilia,29ʡC,Sunny. Pleasantly warm.
Brisbane,13ʡC,Cool.
Brussels,20ʡC,Passing clouds. Mild.
Bucharest,19ʡC,Passing clouds. Mild.
Budapest,20ʡC,Sprinkles. Passing clouds. Mild.
Buenos Aires,18ʡC,Thunderstorms. Overcast. Mild.
Cairo,32ʡC,Clear. Hot.
Calgary,23ʡC,Passing clouds. Mild.
Canberra,-1ʡC,Clear. Chilly.
Cape Town,15ʡC,Passing clouds. Cool.
Caracas,32ʡC,Passing clouds. Hot.
Casablanca,24ʡC,Scattered clouds. Mild.
Chicago,23ʡC,Partly sunny. Mild.
Copenhagen,19ʡC,Clear. Mild.
Dallas,27ʡC,Mostly cloudy. Warm.
Dar es Salaam,26ʡC,Passing clouds. Warm.
Darwin,23ʡC,Passing clouds. Mild.
Denver,22ʡC,Sunny. Mild.
Detroit,22ʡC,Sunny. Mild.
Dhaka,27ʡC,Passing clouds. Warm.
Doha,35ʡC,Clear. Extremely hot.
Dubai,38ʡC,Clear. Extremely hot.
Dublin,17ʡC,Broken clouds. Mild.
Edmonton,21ʡC,Passing clouds. Mild.
Frankfurt,24ʡC,Sunny. Mild.
Guatemala City,25ʡC,Scattered clouds. Warm.
Halifax,22ʡC,Partly sunny. Mild.
Hanoi,27ʡC,Clear. Warm.
Harare,26ʡC,Sunny. Pleasantly warm.
Havana,34ʡC,Scattered clouds. Extremely hot.
Helsinki,16ʡC,Partly cloudy. Cool.
Hong Kong,29ʡC,Passing clouds. Warm.
Honolulu,24ʡC,Partly sunny. Mild.
Houston,31ʡC,Cloudy. Warm.
Indianapolis,20ʡC,Passing clouds. Mild.
Islamabad,25ʡC,Passing clouds. Warm.
Istanbul,27ʡC,Clear. Warm.
Jakarta,26ʡC,Passing clouds. Warm.
Jerusalem,23ʡC,Mild.
Johannesburg,24ʡC,Clear. Mild.
Karachi,28ʡC,Passing clouds. Warm.
Kathmandu,22ʡC,Partly cloudy. Mild.
Kingston,32ʡC,Hot.
Kinshasa,27ʡC,Passing clouds. Warm.
Kiritimati,27ʡC,Passing clouds. Warm.
Kolkata,30ʡC,Passing clouds. Warm.
